繁體	简体	拼音	備注
資	资	tsi1	
姿	姿	tsi1	
諮	咨	tsi1	
之	之	tsi1	
芝	芝	tsi1	
茲	兹	tsi1	
滋	滋	tsi1	
雌	雌	tsi1	
疵	疵	tsi1	吹毛求～
梔	栀	tsi1	～子花
輜	辎	tsi1	〜重
肢	肢	tsi1	
紙	纸	tsi3	
此	此	tsi3	
姊	姊	tsi3	
旨	旨	tsi3	
指	指	tsi3	
脂	脂	tsi3	
紫	紫	tsi3	
齒	齿	tsi3	
趾	趾	tsi3	
梓	梓	tsi3	
止	止	tsi3	
址	址	tsi3	
子	子	tsi3	
恥	耻	tsi3	
耻	耻	tsi3	
滓	滓	tsi3	
只	只	tsi3	〜有
祇	只	tsi3	〜有
侈	侈	tsi3	奢〜
至	至	tsi4	
次	次	tsi4	
翅	翅	tsi4	
刺	刺	tsi4	
志	志	tsi4	
痣	痣	tsi4	
師	师	si1	
獅	狮	si1	
斯	斯	si1	
撕	撕	si1	
廝	厮	si1	
施	施	si1	
私	私	si1	
絲	丝	si1	
詩	诗	si1	
思	思	si1	
司	司	si1	
尸	尸	si1	
屍	尸	si1	
死	死	si3	
屎	屎	si3	
矢	矢	si3	
豕	豕	si3	
使	使	si3	
駛	驶	si3	
始	始	si3	
史	史	si3	
四	四	si4	
肆	肆	si4	
賜	赐	si4	
試	试	si4	
時	时	zi2	
鰣	鲥	zi2	
辭	辞	zi2	
飼	饲	zi2	
詞	词	zi2	
祠	祠	zi2	
嗣	嗣	zi2	
慈	慈	zi2	
磁	磁	zi2	〜石
餈	糍	zi2	〜巴
瓷	瓷	zi2	〜器
自	自	zi5	
示	示	zi5	
嗜	嗜	zi5	
是	是	zi5	
視	视	zi5	
氏	氏	zi5	
似	似	zi5	
伺	伺	zi5	
侍	侍	zi5	
恃	恃	zi5	
字	字	zi5	
市	市	zi5	
痔	痔	zi5	
寺	寺	zi5	
柿	柿	zi5	
士	士	zi5	
仕	仕	zi5	
俟	俟	zi5	
事	事	zi5	
豉	豉	zi5	豆〜
匙	匙	zi5	湯〜；鑰〜
牸	牸	zi5	牝牛
巳	巳	zi5	辰～
祀	祀	zi5	祭〜
悲	悲	pe1	
北	北	pe1	
百	百	pe1	
伯	伯	pe1	
陌	陌	pe1	〜生
檗	檗	pe1	黃〜，藥名
魄	魄	phe1	
迫	迫	phe1	
拍	拍	phe1	
勃	勃	be2	
物	物	be2	
白	白	be2	
帛	帛	be2	
末	末	me2	
抹	抹	me2	
沫	沫	me2	
墨	墨	me2	
默	默	me2	
脈	脉	me2	
脉	脉	me2	
麥	麦	me2	
沒	没	me2	沉〜；有〜
没	没	me2	沉〜；有〜
佛	佛	fe1	仿～
